FIELD1,S_AREA,S_IRRIGATION,S_LAND_ID,S_LAND_TYPE,S_MOISTURE,S_SOIL_TYPE,S_TEMPERATURE,S_TREE_CROP_NAME,S_TREE_CROP_TYPE,S_UNIT,S_USERID,_id
0,3487,Yes,9886654444_L1,Agriculture,0,Laterite Soil,0.0,Banana Tree,Tree,,Shweta123,5bffcdb05a52762254ca640b
1,3487,Yes,9886654444_L1,Agriculture,0,Laterite Soil,0.0,Lemon Tree,Tree,,Shweta123,5bffcdb05a52762254ca640b
2,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Palm Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
3,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Lemon Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
4,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
5,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Wheat,Crop,,Sanket@123,5c050b3602fd3219f839eb10
6,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Mango Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
7,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
8,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
9,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
10,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
11,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
12,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
13,4676,Yes,8956321458_L1,Agriculture,62,Laterite Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050b3602fd3219f839eb10
14,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Palm Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
15,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Lemon Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
16,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
17,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Wheat,Crop,,Sanket@123,5c050c9102fd3219f839eb11
18,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Mango Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
19,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
20,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
21,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
22,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
23,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
24,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
25,567,Yes,8956321458_L2,Agriculture,62,Saline and Alkaline Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050c9102fd3219f839eb11
26,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Palm Tree,Tree,,Sanket@123,5c050f2e02fd3219f839eb13
27,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Lemon Tree,Tree,,Sanket@123,5c050f2e02fd3219f839eb13
28,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,,Sanket@123,5c050f2e02fd3219f839eb13
29,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Wheat,Crop,,Sanket@123,5c050f2e02fd3219f839eb13
30,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Mango Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
31,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
32,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
33,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
34,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
35,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
36,554,Yes,8956321458_L3,Agriculture,62,Black Soil,29.63,Orange Tree,Tree,Tree,Sanket@123,5c050f2e02fd3219f839eb13
